#{"t_start": 1685863719.9445045, "env_id": null}
r,l,t
259.0,52,6.728702
184.0,37,10.445449
180.0,37,14.08054
181.0,37,17.745606
179.0,36,21.362108
179.0,36,24.980396
180.0,37,28.627832
179.0,36,32.24508
179.0,36,35.861957
179.0,36,39.47791
179.0,36,43.112524
179.0,36,46.728688
179.0,36,50.345233
179.0,36,53.962263
179.0,36,57.578461
179.0,36,61.211918
179.0,36,64.828002
179.0,36,68.444658
179.0,36,72.061548
179.0,36,75.677969
179.0,36,79.31106
179.0,36,82.92796
179.0,36,86.544487
179.0,36,90.161553
179.0,36,93.777829
179.0,36,97.4106
179.0,36,101.027537
179.0,36,104.644415
179.0,36,108.262503
179.0,36,111.877194
179.0,36,115.510942
179.0,36,119.127125
179.0,36,122.744304
179.0,36,126.360804
179.0,36,129.977328
179.0,36,133.610211
179.0,36,137.227788
179.0,36,140.843776
179.0,36,144.460394
179.0,36,148.077259
179.0,36,151.710423
179.0,36,155.326754
179.0,36,158.943718
179.0,36,162.560426
179.0,36,166.176668
179.0,36,169.809975
179.0,36,173.426576
179.0,36,177.043963
179.0,36,180.659997
179.0,36,184.276493
179.0,36,187.909497
179.0,36,191.526559
179.0,36,195.1426
179.0,36,198.759537
179.0,36,202.376857
179.0,36,206.009946
230.0,47,211.192901
179.0,36,214.809502
179.0,36,218.426075
179.0,36,222.059157
179.0,36,225.676577
179.0,36,229.292395
179.0,36,232.90924
196.0,40,236.875315
179.0,36,240.492358
179.0,36,244.109706
179.0,36,247.725724
179.0,36,251.359056
179.0,36,254.975563
179.0,36,258.592215
