Episode: 0, Total Reward: -1, Total Length: 43.0 
Episode: 1, Total Reward: -1, Total Length: 60.0 
Episode: 2, Total Reward: -1, Total Length: 76.0 
Episode: 3, Total Reward: -1, Total Length: 56.0 
Episode: 4, Total Reward: -1, Total Length: 78.0 
Episode: 5, Total Reward: -1, Total Length: 78.0 
Episode: 6, Total Reward: -1, Total Length: 21.0 
Episode: 7, Total Reward: -1, Total Length: 68.0 
Episode: 8, Total Reward: -1, Total Length: 71.0 
Episode: 9, Total Reward: -1, Total Length: 75.0 
Episode: 10, Total Reward: -1, Total Length: 78.0 
Episode: 11, Total Reward: -1, Total Length: 46.0 
Episode: 12, Total Reward: -1, Total Length: 21.0 
Episode: 13, Total Reward: -1, Total Length: 67.0 
Episode: 14, Total Reward: -1, Total Length: 75.0 
Episode: 15, Total Reward: -1, Total Length: 45.0 
Episode: 16, Total Reward: -1, Total Length: 75.0 
Episode: 17, Total Reward: -1, Total Length: 22.0 
Episode: 18, Total Reward: -1, Total Length: 79.0 
Episode: 19, Total Reward: -1, Total Length: 65.0 
Episode: 20, Total Reward: -1, Total Length: 83.0 
Episode: 21, Total Reward: -1, Total Length: 142.0 
Episode: 22, Total Reward: -1, Total Length: 104.0 
Episode: 23, Total Reward: -1, Total Length: 25.0 
Episode: 24, Total Reward: -1, Total Length: 326.0 
Episode: 25, Total Reward: -1, Total Length: 20.0 
Episode: 26, Total Reward: -1, Total Length: 61.0 
Episode: 27, Total Reward: -1, Total Length: 63.0 
Episode: 28, Total Reward: -1, Total Length: 46.0 
Episode: 29, Total Reward: -1, Total Length: 83.0 
Episode: 30, Total Reward: -1, Total Length: 40.0 
Episode: 31, Total Reward: -1, Total Length: 78.0 
Episode: 32, Total Reward: -1, Total Length: 95.0 
Episode: 33, Total Reward: -1, Total Length: 65.0 
Episode: 34, Total Reward: -1, Total Length: 66.0 
Episode: 35, Total Reward: -1, Total Length: 72.0 
Episode: 36, Total Reward: -1, Total Length: 79.0 
Episode: 37, Total Reward: -1, Total Length: 23.0 
Episode: 38, Total Reward: -1, Total Length: 110.0 
Episode: 39, Total Reward: -1, Total Length: 69.0 
Episode: 40, Total Reward: -1, Total Length: 61.0 
Episode: 41, Total Reward: -1, Total Length: 75.0 
Episode: 42, Total Reward: -1, Total Length: 23.0 
Episode: 43, Total Reward: -1, Total Length: 89.0 
Episode: 44, Total Reward: -1, Total Length: 54.0 
Episode: 45, Total Reward: -1, Total Length: 20.0 
Episode: 46, Total Reward: -1, Total Length: 76.0 
Episode: 47, Total Reward: -1, Total Length: 104.0 
Episode: 48, Total Reward: -1, Total Length: 75.0 
Episode: 49, Total Reward: -1, Total Length: 21.0 
Episode: 50, Total Reward: -1, Total Length: 49.0 
Episode: 51, Total Reward: -1, Total Length: 105.0 
Episode: 52, Total Reward: -1, Total Length: 31.0 
Episode: 53, Total Reward: -1, Total Length: 88.0 
Episode: 54, Total Reward: -1, Total Length: 68.0 
Episode: 55, Total Reward: -1, Total Length: 67.0 
Episode: 56, Total Reward: -1, Total Length: 23.0 
Episode: 57, Total Reward: -1, Total Length: 83.0 
Episode: 58, Total Reward: -1, Total Length: 78.0 
Episode: 59, Total Reward: -1, Total Length: 53.0 
Episode: 60, Total Reward: -1, Total Length: 76.0 
Episode: 61, Total Reward: -1, Total Length: 49.0 
Episode: 62, Total Reward: -1, Total Length: 74.0 
Episode: 63, Total Reward: -1, Total Length: 23.0 
Episode: 64, Total Reward: -1, Total Length: 144.0 
Episode: 65, Total Reward: -1, Total Length: 23.0 
Episode: 66, Total Reward: -1, Total Length: 74.0 
