#{"t_start": 1686128204.0642781, "env_id": null}
r,l,t
-0.828654,8,0.136462
-0.928605,9,0.171478
-0.926832,9,0.203699
-0.927785,9,0.23823
-0.926397,9,0.270635
-0.928774,9,0.300905
-0.928308,9,0.331291
-0.92987,9,0.367169
-0.927526,9,0.398388
-0.927176,9,0.433827
-0.926592,9,0.470626
-0.927863,9,0.501402
-0.927929,9,0.534172
-0.929581,9,0.565986
-0.92838,9,0.597772
-0.927965,9,0.62791
-0.928579,9,0.658513
-0.930169,9,0.689852
-0.929345,9,0.722519
-0.928517,9,0.756958
-0.927564,9,0.792678
-0.928118,9,0.830002
-0.928601,9,0.865309
-0.928479,9,0.897652
-0.928428,9,0.929573
-0.929644,9,0.959418
-0.929628,9,0.991774
-0.926921,9,1.025331
-0.926505,9,1.060146
-0.92632,9,1.091891
-0.929325,9,1.126898
-0.927931,9,1.159413
-0.927628,9,1.189458
-0.927468,9,1.222817
-0.926544,9,1.253496
-0.926487,9,1.293615
-0.929165,9,1.331105
-0.926927,9,1.363412
-0.92674,9,1.392652
-0.927087,9,1.427608
-0.927096,9,1.457251
-0.929739,9,1.487057
-0.926509,9,1.518264
-0.926603,9,1.54713
-0.926313,9,1.580345
-0.929514,9,1.615667
-0.930782,9,1.645063
-0.929987,9,1.679606
-0.927747,9,1.71303
-0.928252,9,1.742938
-0.927043,9,1.774608
-0.926743,9,1.805581
-0.931131,9,1.83783
-0.927366,9,1.877415
-0.927769,9,1.914174
-0.927753,9,1.945039
-0.927055,9,1.977553
-0.926937,9,2.010306
-0.926816,9,2.04176
-0.932027,9,2.078217
-0.92562,9,2.115737
-0.927116,9,2.147427
-0.927118,9,2.1821
-0.927797,9,2.214807
-0.926942,9,2.244326
-0.927009,9,2.274585
-0.931957,9,2.304497
-0.928569,9,2.335199
-0.929576,9,2.365784
-0.928311,9,2.39597
-0.927655,9,2.431469
-0.928259,9,2.466365
-0.92876,9,2.496234
-0.928696,9,2.527765
-0.930202,9,2.556959
-0.928077,9,2.58814
-0.92951,9,2.637994
-0.92744,9,2.671026
-0.927905,9,2.70571
-0.930877,9,2.737187
-0.928581,9,2.768905
-0.925942,9,2.798878
-0.928965,9,2.830979
-0.927951,9,2.861066
-0.93084,9,2.892262
-0.929146,9,2.926344
-0.928276,9,2.956809
-0.927731,9,2.985799
-0.927349,9,3.015037
-0.927082,9,3.044877
-0.927377,9,3.074124
-0.926433,9,3.104629
