Episode: 0, Total Reward: -0.8284159600734711, Total Length: 8.0 
Episode: 1, Total Reward: -0.9297035783529282, Total Length: 9.0 
Episode: 2, Total Reward: -0.9316723495721817, Total Length: 9.0 
Episode: 3, Total Reward: -0.9317972734570503, Total Length: 9.0 
Episode: 4, Total Reward: -0.9307976588606834, Total Length: 9.0 
Episode: 5, Total Reward: -0.9316931217908859, Total Length: 9.0 
Episode: 6, Total Reward: -0.9321599081158638, Total Length: 9.0 
Episode: 7, Total Reward: -0.9319986999034882, Total Length: 9.0 
Episode: 8, Total Reward: -0.9321785345673561, Total Length: 9.0 
Episode: 9, Total Reward: -0.9315474256873131, Total Length: 9.0 
Episode: 10, Total Reward: -0.930801123380661, Total Length: 9.0 
Episode: 11, Total Reward: -0.9321584478020668, Total Length: 9.0 
Episode: 12, Total Reward: -0.932526171207428, Total Length: 9.0 
Episode: 13, Total Reward: -0.9325584545731544, Total Length: 9.0 
Episode: 14, Total Reward: -0.93213851749897, Total Length: 9.0 
Episode: 15, Total Reward: -0.9321617111563683, Total Length: 9.0 
Episode: 16, Total Reward: -0.9327975884079933, Total Length: 9.0 
Episode: 17, Total Reward: -0.9338803812861443, Total Length: 9.0 
Episode: 18, Total Reward: -0.9322176575660706, Total Length: 9.0 
Episode: 19, Total Reward: -0.9315288439393044, Total Length: 9.0 
Episode: 20, Total Reward: -0.9319716617465019, Total Length: 9.0 
Episode: 21, Total Reward: -0.9312582612037659, Total Length: 9.0 
Episode: 22, Total Reward: -0.932564839720726, Total Length: 9.0 
Episode: 23, Total Reward: -0.9328084737062454, Total Length: 9.0 
Episode: 24, Total Reward: -0.932905375957489, Total Length: 9.0 
Episode: 25, Total Reward: -0.9328488558530807, Total Length: 9.0 
Episode: 26, Total Reward: -0.9308478385210037, Total Length: 9.0 
Episode: 27, Total Reward: -0.9308253303170204, Total Length: 9.0 
Episode: 28, Total Reward: -0.9316105544567108, Total Length: 9.0 
Episode: 29, Total Reward: -0.9306440129876137, Total Length: 9.0 
Episode: 30, Total Reward: -0.9296458438038826, Total Length: 9.0 
Episode: 31, Total Reward: -0.9299947768449783, Total Length: 9.0 
Episode: 32, Total Reward: -0.9300481900572777, Total Length: 9.0 
Episode: 33, Total Reward: -0.9310647696256638, Total Length: 9.0 
Episode: 34, Total Reward: -0.9314165040850639, Total Length: 9.0 
Episode: 35, Total Reward: -0.9310677647590637, Total Length: 9.0 
Episode: 36, Total Reward: -0.9315640553832054, Total Length: 9.0 
Episode: 37, Total Reward: -0.9311805590987206, Total Length: 9.0 
Episode: 38, Total Reward: -0.9323015585541725, Total Length: 9.0 
Episode: 39, Total Reward: -0.9318137094378471, Total Length: 9.0 
Episode: 40, Total Reward: -0.9337289035320282, Total Length: 9.0 
Episode: 41, Total Reward: -0.9322441816329956, Total Length: 9.0 
Episode: 42, Total Reward: -0.9329696744680405, Total Length: 9.0 
Episode: 43, Total Reward: -0.9319092109799385, Total Length: 9.0 
Episode: 44, Total Reward: -0.93231001496315, Total Length: 9.0 
Episode: 45, Total Reward: -0.9319383129477501, Total Length: 9.0 
Episode: 46, Total Reward: -0.9314939752221107, Total Length: 9.0 
Episode: 47, Total Reward: -0.9310679063200951, Total Length: 9.0 
Episode: 48, Total Reward: -0.9321267977356911, Total Length: 9.0 
Episode: 49, Total Reward: -0.9321293607354164, Total Length: 9.0 
Episode: 50, Total Reward: -0.9318383410573006, Total Length: 9.0 
Episode: 51, Total Reward: -0.9310948178172112, Total Length: 9.0 
Episode: 52, Total Reward: -0.9312511458992958, Total Length: 9.0 
