#{"t_start": 1686135128.565139, "env_id": null}
r,l,t
-0.828561,8,0.051506
-0.926243,9,0.08386
-0.925408,9,0.115321
-0.925383,9,0.144967
-0.925495,9,0.175667
-0.925503,9,0.208248
-0.925543,9,0.239836
-0.925481,9,0.272018
-0.925553,9,0.303225
-0.925448,9,0.333477
-0.925504,9,0.36361
-0.925539,9,0.394344
-0.925478,9,0.424368
-0.925393,9,0.454197
-0.925463,9,0.48508
-0.927427,9,0.514543
-0.925695,9,0.544535
-0.925376,9,0.575279
-0.925351,9,0.604537
-0.925343,9,0.633248
-0.925353,9,0.662878
-0.925293,9,0.693324
-0.925421,9,0.723106
-0.925374,9,0.753807
-0.925456,9,0.787311
-0.925527,9,0.819184
-0.925411,9,0.850452
-0.925345,9,0.884612
-0.925522,9,0.915089
-0.92553,9,0.944732
-0.925427,9,0.974909
-0.92543,9,1.004759
-0.925588,9,1.034534
-0.925551,9,1.066325
-0.925442,9,1.097104
-0.925459,9,1.126268
-0.925602,9,1.156571
-0.925575,9,1.185824
-0.925385,9,1.218339
-0.925374,9,1.248153
-0.925547,9,1.277887
-0.925437,9,1.307134
-0.92532,9,1.336942
-0.925502,9,1.366236
-0.925461,9,1.395456
-0.976072,9,1.425736
-0.923748,9,1.454975
-0.923945,9,1.486604
-0.924585,9,1.516834
-0.925033,9,1.549443
-0.925305,9,1.580546
-0.925261,9,1.611046
-0.925342,9,1.641095
-0.925554,9,1.670087
-0.925428,9,1.700755
-0.925423,9,1.730458
-0.92536,9,1.760863
-0.92544,9,1.790904
-0.925413,9,1.820731
-0.925454,9,1.850255
-0.925551,9,1.880875
-0.925623,9,1.910971
-0.925525,9,1.940576
-0.925419,9,1.969435
-0.925396,9,1.999124
-0.925488,9,2.028026
-0.925555,9,2.057142
-0.925438,9,2.086876
-0.925419,9,2.115937
-0.9256,9,2.145241
-0.925979,9,2.175652
-0.925642,9,2.205372
-0.925403,9,2.235898
-0.925575,9,2.266169
-0.925552,9,2.295606
-0.925475,9,2.32525
-0.92554,9,2.355804
-0.925571,9,2.384918
-0.925526,9,2.414934
-0.925484,9,2.445648
-0.925477,9,2.476038
-0.925452,9,2.505263
-0.925461,9,2.535261
-0.925493,9,2.565364
-0.925304,9,2.59466
-0.92545,9,2.624238
-0.925369,9,2.654606
-0.925442,9,2.683698
-0.925465,9,2.712431
-0.925378,9,2.742501
-0.925459,9,2.772619
-0.925458,9,2.802534
-0.925543,9,2.832773
-0.925619,9,2.861582
-0.925494,9,2.891561
-0.925393,9,2.924156
-0.92542,9,2.954395
-0.925931,9,2.984162
-0.925675,9,3.014336
-0.925601,9,3.043779
-0.925479,9,3.07463
-0.925561,9,3.105031
-0.925428,9,3.135278
-0.925391,9,3.16541
-0.925531,9,3.195468
-0.925972,9,3.225078
-0.925415,9,3.254442
-0.92546,9,3.285365
-0.92555,9,3.314652
-0.925586,9,3.344114
-0.925488,9,3.374819
-0.925583,9,3.404075
-0.925452,9,3.433285
-0.925457,9,3.462879
-0.925453,9,3.491717
-0.925512,9,3.5212
-0.925387,9,3.551159
-0.925574,9,3.580534
-0.925541,9,3.609601
-0.925555,9,3.639663
-0.925639,9,3.670352
-0.964481,9,3.700727
-0.922579,9,3.730391
-0.923729,9,3.760582
-0.963554,9,3.791356
-0.970686,9,3.822255
-0.927994,9,3.854255
-0.925098,9,3.883873
-0.924928,9,3.913243
-0.947515,9,3.944194
-0.925183,9,3.975468
-0.923784,9,4.005157
-0.924838,9,4.035695
-0.925234,9,4.064865
-0.925325,9,4.093894
-0.925477,9,4.123559
-0.925424,9,4.152851
-0.925441,9,4.182637
-0.925488,9,4.213274
-0.959513,9,4.243296
-0.925349,9,4.273056
-0.92551,9,4.303802
-0.925465,9,4.333672
-0.925072,9,4.363151
-0.925245,9,4.392987
-0.951903,9,4.423858
-0.925463,9,4.454131
-0.925266,9,4.483512
-0.925305,9,4.514536
-0.925511,9,4.545814
-0.925452,9,4.575733
-0.92543,9,4.606609
-0.925446,9,4.636203
-0.925464,9,4.665717
-0.925464,9,4.695009
-0.925548,9,4.724493
-0.925425,9,4.75343
-0.925427,9,4.783531
-0.974144,9,4.813166
-0.923774,9,4.841722
-0.924198,9,4.871887
-0.924879,9,4.901194
-0.9253,9,4.930764
-0.925398,9,4.960591
-0.944323,9,4.991579
-0.925594,9,5.021146
-0.923891,9,5.050725
-0.924664,9,5.081125
-0.926614,9,5.11084
-0.92575,9,5.14007
-0.925523,9,5.170645
-0.964362,9,5.20053
-0.938691,9,5.230201
-0.940343,9,5.262213
