Episode: 0, Total Reward: -0.8285176530480385, Total Length: 8.0 
Episode: 1, Total Reward: -0.9256977513432503, Total Length: 9.0 
Episode: 2, Total Reward: -0.9255995824933052, Total Length: 9.0 
Episode: 3, Total Reward: -0.9255162924528122, Total Length: 9.0 
Episode: 4, Total Reward: -0.9255998209118843, Total Length: 9.0 
Episode: 5, Total Reward: -0.9255324900150299, Total Length: 9.0 
Episode: 6, Total Reward: -0.9255186542868614, Total Length: 9.0 
Episode: 7, Total Reward: -0.9255239740014076, Total Length: 9.0 
Episode: 8, Total Reward: -0.9254971966147423, Total Length: 9.0 
Episode: 9, Total Reward: -0.9255402907729149, Total Length: 9.0 
Episode: 10, Total Reward: -0.9254160895943642, Total Length: 9.0 
Episode: 11, Total Reward: -0.9254913553595543, Total Length: 9.0 
Episode: 12, Total Reward: -0.9254968240857124, Total Length: 9.0 
Episode: 13, Total Reward: -0.9255489185452461, Total Length: 9.0 
Episode: 14, Total Reward: -0.9254380911588669, Total Length: 9.0 
Episode: 15, Total Reward: -0.9265476539731026, Total Length: 9.0 
Episode: 16, Total Reward: -0.925908736884594, Total Length: 9.0 
Episode: 17, Total Reward: -0.9254022166132927, Total Length: 9.0 
Episode: 18, Total Reward: -0.925673708319664, Total Length: 9.0 
Episode: 19, Total Reward: -0.925465352833271, Total Length: 9.0 
Episode: 20, Total Reward: -0.9261537492275238, Total Length: 9.0 
Episode: 21, Total Reward: -0.9253508821129799, Total Length: 9.0 
Episode: 22, Total Reward: -0.9254383817315102, Total Length: 9.0 
Episode: 23, Total Reward: -0.9255017340183258, Total Length: 9.0 
Episode: 24, Total Reward: -0.9256613254547119, Total Length: 9.0 
Episode: 25, Total Reward: -0.9255754500627518, Total Length: 9.0 
Episode: 26, Total Reward: -0.9255402535200119, Total Length: 9.0 
Episode: 27, Total Reward: -0.9253987893462181, Total Length: 9.0 
Episode: 28, Total Reward: -0.9254754036664963, Total Length: 9.0 
Episode: 29, Total Reward: -0.9255833104252815, Total Length: 9.0 
Episode: 30, Total Reward: -0.9256545528769493, Total Length: 9.0 
Episode: 31, Total Reward: -0.9255846068263054, Total Length: 9.0 
Episode: 32, Total Reward: -0.9255597442388535, Total Length: 9.0 
Episode: 33, Total Reward: -0.9255149066448212, Total Length: 9.0 
Episode: 34, Total Reward: -0.925509512424469, Total Length: 9.0 
Episode: 35, Total Reward: -0.9254552647471428, Total Length: 9.0 
Episode: 36, Total Reward: -0.9254774078726768, Total Length: 9.0 
Episode: 37, Total Reward: -0.9254302084445953, Total Length: 9.0 
Episode: 38, Total Reward: -0.925525575876236, Total Length: 9.0 
Episode: 39, Total Reward: -0.9254880174994469, Total Length: 9.0 
Episode: 40, Total Reward: -0.9255394041538239, Total Length: 9.0 
Episode: 41, Total Reward: -0.925549253821373, Total Length: 9.0 
Episode: 42, Total Reward: -0.9255451858043671, Total Length: 9.0 
Episode: 43, Total Reward: -0.9254960864782333, Total Length: 9.0 
Episode: 44, Total Reward: -0.9253668561577797, Total Length: 9.0 
Episode: 45, Total Reward: -0.9760978892445564, Total Length: 9.0 
Episode: 46, Total Reward: -0.9232268109917641, Total Length: 9.0 
Episode: 47, Total Reward: -0.9236597493290901, Total Length: 9.0 
Episode: 48, Total Reward: -0.9246267229318619, Total Length: 9.0 
Episode: 49, Total Reward: -0.9249104112386703, Total Length: 9.0 
Episode: 50, Total Reward: -0.9252118095755577, Total Length: 9.0 
Episode: 51, Total Reward: -0.9254614934325218, Total Length: 9.0 
Episode: 52, Total Reward: -0.9254495725035667, Total Length: 9.0 
Episode: 53, Total Reward: -0.9254846572875977, Total Length: 9.0 
Episode: 54, Total Reward: -0.9253978058695793, Total Length: 9.0 
Episode: 55, Total Reward: -0.9257076978683472, Total Length: 9.0 
Episode: 56, Total Reward: -0.9255380481481552, Total Length: 9.0 
Episode: 57, Total Reward: -0.9254748523235321, Total Length: 9.0 
Episode: 58, Total Reward: -0.925519160926342, Total Length: 9.0 
Episode: 59, Total Reward: -0.9254517555236816, Total Length: 9.0 
Episode: 60, Total Reward: -0.9253572449088097, Total Length: 9.0 
Episode: 61, Total Reward: -0.9252669289708138, Total Length: 9.0 
Episode: 62, Total Reward: -0.925404392182827, Total Length: 9.0 
Episode: 63, Total Reward: -0.9254703149199486, Total Length: 9.0 
Episode: 64, Total Reward: -0.9254733473062515, Total Length: 9.0 
Episode: 65, Total Reward: -0.925507515668869, Total Length: 9.0 
Episode: 66, Total Reward: -0.9254219383001328, Total Length: 9.0 
Episode: 67, Total Reward: -0.9254017099738121, Total Length: 9.0 
Episode: 68, Total Reward: -0.9254939183592796, Total Length: 9.0 
Episode: 69, Total Reward: -0.9255896434187889, Total Length: 9.0 
Episode: 70, Total Reward: -0.9264331609010696, Total Length: 9.0 
Episode: 71, Total Reward: -0.925926111638546, Total Length: 9.0 
Episode: 72, Total Reward: -0.9256136938929558, Total Length: 9.0 
Episode: 73, Total Reward: -0.9255495071411133, Total Length: 9.0 
Episode: 74, Total Reward: -0.9255048334598541, Total Length: 9.0 
Episode: 75, Total Reward: -0.9254997298121452, Total Length: 9.0 
Episode: 76, Total Reward: -0.925460584461689, Total Length: 9.0 
Episode: 77, Total Reward: -0.9254207611083984, Total Length: 9.0 
Episode: 78, Total Reward: -0.9254526346921921, Total Length: 9.0 
Episode: 79, Total Reward: -0.9254610314965248, Total Length: 9.0 
Episode: 80, Total Reward: -0.925458237528801, Total Length: 9.0 
Episode: 81, Total Reward: -0.9255422353744507, Total Length: 9.0 
Episode: 82, Total Reward: -0.9255290850996971, Total Length: 9.0 
Episode: 83, Total Reward: -0.9255243614315987, Total Length: 9.0 
Episode: 84, Total Reward: -0.9256167933344841, Total Length: 9.0 
Episode: 85, Total Reward: -0.9258916154503822, Total Length: 9.0 
Episode: 86, Total Reward: -0.9256211146712303, Total Length: 9.0 
Episode: 87, Total Reward: -0.9256721958518028, Total Length: 9.0 
Episode: 88, Total Reward: -0.9253974109888077, Total Length: 9.0 
Episode: 89, Total Reward: -0.9253977239131927, Total Length: 9.0 
Episode: 90, Total Reward: -0.9256068840622902, Total Length: 9.0 
Episode: 91, Total Reward: -0.925480879843235, Total Length: 9.0 
Episode: 92, Total Reward: -0.9255627319216728, Total Length: 9.0 
Episode: 93, Total Reward: -0.9255172312259674, Total Length: 9.0 
Episode: 94, Total Reward: -0.9255743846297264, Total Length: 9.0 
Episode: 95, Total Reward: -0.9255516603589058, Total Length: 9.0 
Episode: 96, Total Reward: -0.9256294146180153, Total Length: 9.0 
Episode: 97, Total Reward: -0.9257268756628036, Total Length: 9.0 
Episode: 98, Total Reward: -0.925933487713337, Total Length: 9.0 
Episode: 99, Total Reward: -0.9254187867045403, Total Length: 9.0 
Final Episode Success Rate: 0.000
