#{"t_start": 1686139371.8979006, "env_id": null}
r,l,t
-1.054396,72,2.074841
-1.042936,42,2.153153
-1.031936,36,2.734372
-1.037572,35,3.237679
-1.041218,34,3.799366
-1.02877,34,4.282089
-1.03412,34,4.789085
-1.031912,34,5.330328
-1.027958,34,5.854402
-1.037087,34,6.344757
-1.030483,34,6.858906
-1.03023,34,7.375658
-1.041447,34,7.917715
-1.033061,34,8.414256
-1.031102,34,8.908463
-1.036545,34,9.416122
-1.040973,34,9.942469
-1.037179,34,10.434613
-1.024607,34,10.922054
-1.034939,34,11.407339
-1.031702,34,11.922072
-1.031741,34,12.423219
-1.028496,34,12.970051
-1.030873,34,13.516666
-1.031409,34,14.1087
-1.035707,34,14.687354
-1.029907,34,15.263966
-1.026962,34,15.824125
-1.036752,34,16.404039
-1.029406,34,17.01605
-1.035127,34,17.566871
-1.030594,34,18.114663
-1.027423,34,18.728354
-1.037864,34,19.280279
-1.035591,34,19.833452
-1.038682,34,20.414898
-1.025168,34,21.056629
-1.031648,34,21.604245
-1.029982,34,22.15955
-1.029774,34,22.73125
-1.033833,34,23.306159
-1.036988,34,23.850112
-1.030742,34,24.401656
-1.031765,34,24.954273
-1.0319,34,25.549827
-1.021558,34,26.122419
-1.033302,34,26.768736
-1.026626,34,27.42153
-1.023845,34,28.10841
-1.038771,34,28.70684
-1.038314,34,29.301115
-1.026928,34,29.870343
-1.030565,34,30.490252
-1.030467,34,31.085419
-1.030388,34,31.651991
-1.031109,34,32.169116
-1.04033,34,32.736886
-1.039675,34,33.259171
-1.031898,34,33.791792
-1.029378,34,34.332347
-1.024503,34,34.923209
-1.030632,34,35.460777
-1.020547,34,36.037882
-1.022587,34,36.578764
-1.028503,34,37.133504
-1.041798,34,37.665803
-1.029717,34,38.196876
-1.032514,34,38.721193
-1.029024,34,39.348591
-1.036168,34,39.973082
-1.034184,34,40.559805
-1.030257,34,41.210685
-1.020098,34,41.865511
-1.023118,34,42.517571
-1.034158,34,43.120257
-1.033894,34,43.703732
-1.030152,34,44.31764
-1.027215,34,44.873702
-1.035289,34,45.409099
-1.026262,34,45.950922
-1.033173,34,46.51218
-1.028458,34,47.056725
-1.030573,34,47.605999
-1.037072,34,48.173529
-1.02924,34,48.768147
-1.029722,34,49.345232
-1.040406,34,49.888783
-1.032043,34,50.437525
-1.027521,34,51.006714
-1.03257,34,51.563205
-1.026982,34,52.105144
-1.031121,34,52.646868
-1.034168,34,53.231044
-1.026473,34,53.801065
-1.034576,34,54.366667
-1.034447,34,54.914021
-1.030073,34,55.495717
-1.036453,34,56.092853
-1.029682,34,56.644525
-1.035392,34,57.178353
-1.034717,34,57.781278
-1.039716,34,58.322343
-1.037998,34,58.910285
-1.034327,34,59.437875
-1.032409,34,59.991924
-1.028277,34,60.527512
-1.035463,34,61.065789
-1.02536,34,61.635822
-1.029632,34,62.225766
-1.026499,34,62.789296
-1.028333,34,63.331723
-1.039459,34,63.866241
-1.032508,34,64.466434
-1.025969,34,65.022361
-1.039366,34,65.570857
-1.038454,34,66.115242
-1.032051,34,66.685887
-1.039357,34,67.248926
-1.031482,34,67.782962
-1.037841,34,68.325145
-1.03459,34,68.903869
-1.020138,34,69.457096
-1.033385,34,70.008252
-1.034101,34,70.538254
-1.022327,34,71.092152
-1.020279,34,71.619848
-1.032587,34,72.152066
-1.033422,34,72.683025
-1.028119,34,73.240043
-1.01992,34,73.768313
-1.036178,34,74.297806
-1.030857,34,74.839389
-1.030391,34,75.462277
-1.032283,34,76.041754
-1.033576,34,76.607983
-1.033046,34,77.172921
-1.030832,34,77.736827
-1.03798,34,78.275841
-1.028374,34,78.814865
-1.021654,34,79.348755
-1.026795,34,79.904981
-1.041082,34,80.442762
-1.033314,34,81.005938
-1.025998,34,81.55898
-1.02448,34,82.153966
-1.019233,34,82.713943
-1.033601,34,83.247026
-1.036905,34,83.780308
-1.031333,34,84.331852
-1.037725,34,84.870549
-1.033626,34,85.407065
-1.031007,34,85.946281
-1.027463,34,86.532851
-1.036653,34,87.068711
-1.026906,34,87.619624
-1.031113,34,88.190099
-1.029551,34,88.825416
-1.023832,34,89.375879
-1.019313,34,89.924555
-1.031414,34,90.467084
-1.029449,34,91.05114
-1.030121,34,91.611084
-1.030678,34,92.163013
-1.026788,34,92.713925
-1.023636,34,93.282193
-1.028668,34,93.84108
-1.035864,34,94.422642
-1.026674,34,95.029413
-1.025707,34,95.668455
-1.034506,34,96.22283
-1.027965,34,96.758092
0.995888,9,97.273935
-1.029583,34,97.53467
-1.021092,34,98.115114
-1.027583,34,98.685369
-1.028506,34,99.222428
-1.026996,34,99.802825
-1.035358,34,100.351722
-1.021065,34,100.889062
-1.035833,34,101.502851
-1.030299,34,102.095815
-1.040089,34,102.674102
-1.035926,34,103.257295
-1.025031,34,103.788525
-1.036377,34,104.356514
-1.020608,34,104.895561
-1.029065,34,105.432354
0.993207,14,105.929585
-1.029363,34,106.217913
-1.035841,34,106.748311
-1.027424,34,107.320545
-1.036578,34,107.877404
-1.022515,34,108.504382
-1.027834,34,109.081375
-1.023415,34,109.638393
-1.040466,34,110.176868
-1.032862,34,110.72818
-1.032916,34,111.26187
-1.024931,34,111.790196
-1.030106,34,112.324768
-1.042445,34,112.906517
-1.022192,34,113.462281
-1.028022,34,114.030699
-1.034503,34,114.59399
-1.022896,34,115.186649
-1.020035,34,115.763613
-1.033127,34,116.351512
-1.031574,34,116.902516
-1.024865,34,117.467828
-1.029228,34,118.014223
-1.034313,34,118.574828
-1.030066,34,119.127381
-1.030939,34,119.718206
-1.023372,34,120.266331
-1.033163,34,120.818296
-1.020989,34,121.383308
-1.029198,34,122.008158
-1.034819,34,122.580627
-1.032823,34,123.147889
-1.033513,34,123.721602
0.993539,13,124.239175
-1.02841,34,124.490269
-1.032897,34,125.081573
-1.024766,34,125.639035
-1.027316,34,126.208186
-1.020991,34,126.752588
-1.035271,34,127.305669
-1.034333,34,127.842681
-1.032737,34,128.433189
-1.03637,34,129.01221
-1.023985,34,129.582684
-1.034634,34,130.130685
-1.043773,34,130.745526
-1.037028,34,131.305405
-1.034395,34,131.858459
-1.03033,34,132.41379
-1.027848,34,132.984051
-1.024103,34,133.520734
-1.027479,34,134.069775
-1.034672,34,134.610327
-1.030612,34,135.210022
-1.037133,34,135.781475
-1.036528,34,136.378145
-1.033711,34,136.934862
-1.030282,34,137.548597
-1.024017,34,138.10887
-1.032863,34,138.652285
-1.032289,34,139.198332
-1.110231,110,139.938417
-1.024805,35,141.551366
-1.084237,80,142.233116
0.981539,28,143.42098
-1.07835,85,144.008178
0.992252,15,145.191293
-1.032174,38,145.476626
-1.18104,178,146.38885
-1.086487,80,149.089059
0.976802,36,150.271428
-1.027439,37,150.839219
-1.052468,52,151.464202
0.993623,13,152.231923
-1.044532,36,152.513201
-1.031582,31,153.097041
-1.033966,54,153.64803
-1.026256,33,154.484944
-1.02407,27,155.049248
-1.03562,44,155.568909
0.988747,20,156.285621
-1.055382,59,156.730036
0.984028,26,157.639963
-1.108215,105,158.282964
-1.052378,69,159.926983
-1.04854,45,161.069745
-1.048572,54,161.853168
-1.035494,45,162.769275
-1.053048,50,163.591851
0.991122,17,164.364043
-1.066041,61,164.750971
-1.082783,87,165.889017
-1.057013,69,167.30476
-1.053899,79,168.48012
-1.073294,86,169.870416
-1.04028,44,171.188853
-1.044715,58,171.950495
-1.036022,30,172.864283
-1.028243,32,173.35925
-1.058552,58,173.940929
-1.052253,61,174.936978
-1.073393,66,176.049736
-1.097037,87,177.209816
-1.03372,28,178.496654
-1.05913,57,179.013811
-1.057239,77,180.029543
-1.028952,32,181.19343
-1.061627,82,181.842811
-1.02556,31,183.13122
-1.068279,81,183.801548
-1.030577,31,185.062556
-1.058859,74,185.692883
-1.098517,83,186.935681
-1.031985,30,188.205976
-1.049482,58,188.771327
0.985172,25,189.784127
-1.025209,29,190.237317
-1.036138,34,190.758529
-1.056061,74,191.451589
-1.060746,75,192.642536
-1.022062,28,193.798051
-1.030236,28,194.297404
-1.031047,35,194.774443
-1.035891,57,195.396601
-1.088515,88,196.515649
-1.0376,35,197.892259
-1.034038,28,198.434701
0.993587,13,198.848285
-1.03682,31,199.094294
-1.041502,45,199.652613
-1.033343,34,200.35142
-1.031471,36,200.898715
-1.027167,40,201.567169
-1.030629,32,202.240988
-1.031799,34,202.822954
-1.025499,35,203.427917
-1.028856,31,204.03405
-1.035771,37,204.607485
-1.023935,35,205.206933
-1.02948,29,205.773062
-1.037889,36,206.274832
-1.024953,36,207.040519
-1.03698,37,207.748089
-1.031713,32,208.413946
0.99694,7,208.908404
-1.034238,38,209.13399
-1.036983,38,209.804609
-1.090114,85,210.632903
-1.033958,32,211.960959
-1.031523,38,212.518229
-1.020652,34,213.143958
-1.051206,47,213.732617
-1.026092,29,214.567396
-1.028773,37,215.116131
0.946896,64,215.773056
-1.092577,78,216.889361
0.983371,27,218.075883
-1.04326,44,218.615982
-1.037592,35,219.309176
-1.036489,36,219.88699
-1.030517,31,220.451164
-1.032964,36,220.974632
-1.040879,38,221.557106
-1.09102,92,222.294104
-1.025603,34,223.662334
-1.031136,37,224.298921
-1.028199,32,224.932775
-1.055979,54,225.497808
-1.036542,50,226.35728
-1.024203,32,227.15229
-1.023498,32,227.669863
-1.02714,35,228.185093
-1.029925,37,228.745923
-1.036892,32,229.362718
-1.032909,32,229.898715
-1.030612,32,230.436803
-1.041593,41,231.02134
-1.028314,46,231.744338
-1.119828,113,232.64617
0.985074,28,234.272237
-1.031638,32,234.742635
-1.034095,37,235.307724
-1.032522,30,235.892184
-1.045773,68,236.475838
-1.075544,92,237.712207
-1.027386,42,239.140008
-1.03176,32,239.872633
-1.03092,32,240.437336
-1.036425,49,241.019838
-1.05773,65,241.88745
-1.036904,43,242.923348
-1.027477,31,243.601159
-1.031734,31,244.128748
-1.033987,32,244.702738
-1.081794,86,245.413069
-1.048315,67,246.831899
-1.026376,31,247.853338
-1.026164,31,248.421774
-1.030321,27,248.927483
-1.032649,41,249.403032
-1.03533,36,250.072877
-1.035537,36,250.704224
-1.028202,31,251.317106
-1.036378,34,251.870951
-1.038397,34,252.420787
-1.089741,87,253.129643
-1.035519,34,254.417647
-1.028789,36,254.974886
-1.051614,42,255.565712
-1.036968,37,256.269522
-1.034067,37,256.888011
-1.069947,87,257.66109
-1.085391,77,259.086828
-1.051143,65,260.329424
-1.033987,29,261.304231
-1.052589,70,261.886749
-1.022383,32,263.011258
-1.020344,30,263.579696
-1.086252,74,264.23506
-1.073014,60,265.456557
-1.058236,75,266.471558
-1.054181,58,267.718075
-1.029386,29,268.61781
0.989448,20,269.074807
0.996391,8,269.376562
-1.040263,55,269.639369
-1.050769,48,270.532754
-1.028387,49,271.35072
-1.034218,31,272.12047
-1.10552,92,272.794374
-1.110405,106,274.332934
0.962284,53,275.923178
-1.039628,36,276.745974
-1.027177,33,277.372806
-1.036343,41,277.952281
-1.026595,29,278.595775
-1.034726,36,279.114275
-1.066939,73,279.809022
-1.07231,82,281.003261
-1.042283,46,282.249147
-1.045958,42,282.991098
-1.069384,65,283.789175
-1.071334,79,284.95235
-1.029642,27,286.107034
-1.066103,58,286.607213
-1.035434,36,287.542363
-1.036662,36,288.120343
-1.059982,81,288.798792
-1.047181,52,290.158853
-1.076974,91,291.210656
0.976243,35,292.569715
-1.028836,31,293.147579
-1.051232,77,293.792156
-1.083348,88,295.150123
-1.044519,49,296.545312
-1.021893,29,297.329303
-1.026525,33,297.874421
-1.059863,66,298.534568
0.986969,24,299.533674
-1.047751,47,300.001042
-1.087453,92,300.916775
0.947506,61,302.408899
-1.061206,61,303.440153
0.938209,74,304.545252
-1.069991,62,305.813161
-1.079982,82,306.965004
-1.044875,71,308.297177
-1.082723,77,309.47839
-1.042957,50,310.713548
-1.025884,32,311.56731
0.949039,69,312.202759
-1.082459,90,313.371924
-1.067837,61,314.759128
-1.035501,48,315.759642
-1.030016,35,316.512294
-1.045928,74,317.223578
-1.084014,77,318.522507
-1.044329,54,319.777345
-1.037244,41,320.654255
-1.070073,63,321.399029
-1.027072,29,322.371395
0.945179,83,323.04214
-1.069164,76,324.478839
-1.076522,100,325.876126
-1.105744,91,327.499548
-1.126066,114,329.109833
-1.046871,46,330.894075
-1.055598,84,331.787814
-1.15989,134,333.307539
0.979442,35,335.356413
-1.037581,35,335.948556
-1.085286,86,336.65836
-1.061742,90,338.178605
-1.067136,101,339.776214
-1.030728,38,341.287702
-1.12868,134,342.119551
-1.038712,44,344.15461
-1.080379,83,345.073723
-1.041647,36,346.364485
-1.064552,63,347.02871
-1.045403,42,348.038671
-1.036646,59,348.807526
-1.041291,42,349.742278
-1.033104,34,350.43632
-1.045327,35,351.059694
-1.044953,42,351.722459
-1.045145,48,352.461517
-1.04783,45,353.244188
-1.039327,43,353.975538
-1.052342,64,354.756289
-1.047168,55,355.79945
0.94114,68,356.770491
-1.060531,63,357.903991
-1.037418,36,359.010029
-1.047499,42,359.636373
-1.046401,51,360.41719
-1.042682,39,361.276108
-1.033838,40,361.983346
-1.032385,46,362.653012
-1.074052,91,363.500429
