#{"t_start": 1686138919.6040728, "env_id": null}
r,l,t
0.92697,113,2.291301
-1.080089,96,2.510716
0.954987,65,2.661313
0.91916,96,2.87732
-1.143263,151,3.19859
0.980007,30,3.259331
0.964839,47,3.351768
0.943906,78,3.514334
0.953636,62,3.640995
0.921198,103,3.849438
-1.088133,103,4.051896
0.970735,43,4.147641
0.856612,151,4.444288
0.858775,166,4.766618
0.941608,78,4.934009
-1.101816,99,5.138482
-1.094191,105,5.360994
-1.088341,104,5.563806
0.982064,31,5.624644
0.961089,53,5.725375
0.954157,63,5.845533
-1.07908,96,6.067469
0.94932,72,6.236423
0.95512,58,6.614531
0.9725,39,6.732216
0.892487,115,7.003284
0.968896,46,7.114823
0.980431,32,7.189615
-1.202828,190,7.611912
0.969171,44,7.698679
0.939444,84,7.890168
-1.07839,101,8.154461
0.944035,97,8.382985
0.924455,94,8.620963
0.929503,90,8.84049
0.906714,118,9.121285
0.957603,68,9.267171
0.951673,67,9.409259
0.959285,55,9.529525
0.955906,69,9.70406
0.939714,87,9.914511
-1.088022,99,10.164511
0.972579,39,10.260894
0.939229,73,10.441028
0.933157,79,10.646124
0.87851,175,11.067677
0.90001,130,11.370497
0.964299,58,11.705334
0.98547,24,11.762183
0.875994,143,12.05086
-1.127077,144,12.343535
0.969593,49,12.446504
0.977542,32,12.514322
0.975078,37,12.592113
0.95092,70,12.738229
0.971771,42,12.825196
-1.097699,95,13.018381
0.93023,90,13.204285
-1.088344,125,13.482647
0.95095,82,13.649045
0.938157,99,13.839535
0.894137,102,14.034521
-1.112712,136,14.306794
0.98154,32,14.368628
0.977082,33,14.430368
0.916168,99,14.620192
-1.11369,143,14.891133
0.973324,37,14.961945
0.97602,34,15.027768
0.896803,122,15.259735
-1.216809,231,15.690882
0.966506,52,16.02601
0.989304,20,16.075877
0.983358,28,16.150676
-1.093566,113,16.380063
0.910648,136,16.687451
0.929123,95,16.876327
0.973029,39,16.955117
0.917841,96,17.150604
0.98489,25,17.20047
-1.164959,176,17.562993
0.960837,55,17.682079
0.969351,45,17.783878
-1.121272,151,18.116319
0.927628,94,18.319775
0.956993,70,18.472367
-1.124035,136,18.761101
0.952578,64,18.904227
0.95199,68,19.063804
0.940839,75,19.204981
0.944464,77,19.385654
-1.298205,255,20.012832
0.967485,42,20.124532
0.980815,29,20.199899
0.926909,99,20.428838
0.956496,58,20.842143
0.970874,43,20.958496
0.916655,100,21.185734
0.962291,54,21.321376
0.927327,97,21.591654
0.961582,52,21.70934
-1.178766,207,22.146332
0.934536,79,22.320399
0.970445,39,22.40617
0.957211,60,22.533829
0.956545,62,22.662735
-1.089915,107,22.888328
0.980017,31,22.951159
0.95828,65,23.091881
0.957834,64,23.225524
0.973695,40,23.307826
0.900742,119,23.551265
0.960032,54,23.662966
0.961229,66,23.809573
0.926053,90,24.024001
0.909264,110,24.278168
0.899129,136,24.591362
0.942748,68,24.752483
0.97196,39,24.840659
0.809219,238,25.391443
-1.178781,221,26.166136
0.935743,110,26.394075
-1.072607,95,26.597046
-1.287678,300,27.274366
0.946042,94,27.470431
0.992285,15,27.502944
0.938346,91,27.690491
0.933168,77,27.86879
0.972051,44,27.984007
0.995879,9,28.005972
-1.091391,104,28.263854
0.895983,121,28.604789
0.875786,160,29.002937
0.922166,110,29.281368
0.969464,40,29.382669
0.956122,62,29.535695
0.935287,88,29.751117
-1.17002,155,30.151833
0.976679,34,30.24658
0.989084,20,30.302027
0.979944,30,30.380816
0.88089,132,30.998943
-1.084765,111,31.305065
0.961295,62,31.485379
0.953345,78,31.68919
0.989568,20,31.742049
0.958466,55,31.879681
-1.182526,208,32.415249
-1.143017,182,32.8635
-1.147868,149,33.246373
-1.145032,171,33.655823
0.909502,111,33.920036
0.980833,29,33.990847
-1.306792,273,34.667001
0.942269,89,34.897175
-1.093692,119,35.173524
0.963722,53,35.298711
0.963704,58,35.434729
0.954122,80,35.626229
0.899705,128,35.921027
-1.084834,120,36.465705
0.973432,38,36.561449
0.879626,163,37.00522
0.959504,59,37.176236
0.981813,32,37.270983
0.951913,69,37.497156
-1.081137,97,37.78854
0.980705,32,37.881292
0.941405,79,38.103696
-1.072851,90,38.343222
0.926186,107,38.598138
0.995859,9,38.62008
-1.115504,144,38.971464
-1.104528,149,39.341383
0.824362,218,39.857705
0.966466,50,39.978188
-1.140263,177,40.393872
0.949375,61,40.51807
0.981741,33,40.586792
-1.088479,114,40.806919
0.924029,91,40.992121
0.883819,131,41.264038
-1.084638,96,41.69977
-1.086366,108,41.917691
0.909267,116,42.158207
0.953783,81,42.326402
-1.080984,95,42.519188
0.994727,11,42.540132
0.930783,90,42.719188
0.920185,107,42.950163
0.93142,90,43.143645
-1.21573,229,43.641079
0.957041,72,43.794
0.982196,28,43.854248
0.949621,86,44.048223
-1.253412,223,44.492575
-1.078518,102,44.687717
-1.175043,209,45.113957
-1.076589,103,45.314421
0.931605,92,45.488477
-1.107181,123,45.932031
0.988612,20,45.979894
0.981431,29,46.050915
0.943475,76,46.208494
-1.155846,203,46.639569
0.990835,17,46.67647
0.965433,46,46.779815
-1.075802,95,46.97608
-1.163554,209,47.397953
-1.322936,300,47.984297
-1.171769,177,48.353058
-1.194485,200,48.819114
-1.187479,198,49.266563
-1.308633,215,49.740657
-1.112084,111,49.962173
-1.089395,118,50.189195
0.923029,102,50.63333
-1.07605,96,50.823903
0.962824,51,50.920644
-1.283078,281,51.475639
0.992929,14,51.503566
0.945533,80,51.670306
-1.101721,118,51.906647
0.983439,28,51.961501
0.941905,82,52.136659
0.989461,19,52.174691
-1.183425,211,52.606599
0.888753,125,52.849001
0.906763,123,53.099931
0.960606,48,53.196673
0.94187,89,53.371971
0.953068,62,53.497634
0.9037,103,53.702833
-1.425903,392,54.577128
0.925631,92,55.045383
0.972816,39,55.148629
0.952393,74,55.309777
-1.131812,171,55.651026
0.964258,58,55.766716
0.947686,72,55.909336
-1.083155,100,56.113239
-1.263251,288,56.673933
-1.231783,227,57.138168
-1.15888,173,57.511374
0.973508,38,57.5898
0.95337,74,57.736913
0.943379,70,57.881527
-1.167061,186,58.250299
0.90894,107,58.471605
0.956282,68,58.611557
-1.143624,161,58.932528
0.910939,132,59.430563
-1.159626,188,59.87199
-1.252038,250,60.39487
-1.115886,131,60.683604
-1.102735,122,60.930943
-1.123731,155,61.24407
0.931051,101,61.452727
-1.070935,91,61.634099
-1.120988,166,61.962108
0.918621,107,62.169163
0.910882,104,62.363307
0.963442,49,62.459602
0.990119,18,62.49603
0.935381,107,62.715523
0.972656,39,62.788888
0.95701,65,62.916677
0.987628,22,62.960559
-1.112182,140,63.232092
0.984743,25,63.282592
-1.160781,191,63.874616
-1.148871,175,64.223407
0.936508,78,64.38847
0.911768,129,64.636862
0.968228,53,64.73859
-1.128205,125,65.027325
0.992343,15,65.061234
-1.412253,344,65.782229
-1.13599,145,66.109581
-1.129517,169,66.465599
0.925046,127,66.718717
0.962889,50,66.817451
0.971346,42,66.899233
0.971592,46,66.99398
-1.194305,177,67.353543
0.970174,43,67.439313
0.908113,133,67.701575
0.952039,67,67.850126
-1.151363,186,68.482277
0.913079,107,68.706189
-1.09221,98,68.905657
-1.166423,176,69.277662
0.948527,88,69.457301
0.924962,103,69.660568
0.971467,42,69.746338
0.918998,94,69.937411
0.962298,53,70.046455
-1.17888,198,70.465118
0.933289,97,70.696499
-1.101626,111,70.938171
0.950364,66,71.082785
-1.069869,93,71.28777
0.953802,78,71.457319
0.976363,34,71.535617
-1.083811,92,71.743375
0.989493,20,71.790409
-1.215153,224,72.255756
0.980403,31,72.31759
0.925597,87,72.498325
0.929786,105,72.966462
0.960537,68,73.110605
0.938069,78,73.264857
0.867726,139,73.540127
-1.138288,152,73.85279
0.905341,138,74.120972
0.916783,83,74.293444
-1.081528,105,74.516847
-1.238052,253,75.020353
0.944991,71,75.163846
0.979418,36,75.246652
-1.120903,159,75.56933
-1.138587,189,75.969648
-1.090166,125,76.23793
0.956246,63,76.367583
-1.138387,173,76.730639
0.954408,74,76.884732
0.94156,83,77.295633
0.824473,234,77.811256
0.98674,23,77.855137
0.922428,95,78.057596
0.932717,78,78.210508
0.995419,10,78.229457
-1.072473,115,78.466823
-1.143609,175,78.813448
0.922124,101,79.019146
0.95373,58,79.134674
-1.112052,128,79.382294
0.984169,29,79.437146
-1.422864,364,80.135337
0.954884,63,80.25832
