#{"t_start": 1685866853.5046935, "env_id": null}
r,l,t
265.0,54,1.911699
169.0,34,1.97398
300.0,61,2.085093
557.0,112,2.286094
546.0,110,2.485129
292.0,59,2.591619
544.0,109,2.789543
293.0,59,2.895622
206.0,42,2.970955
179.0,36,3.037752
292.0,59,3.14294
180.0,37,3.209498
224.0,45,3.301965
208.0,42,3.382433
186.0,38,3.453749
207.0,42,3.533438
179.0,36,3.602973
283.0,57,3.714316
237.0,48,3.802814
170.0,35,3.866615
205.0,42,3.94276
213.0,43,4.024601
280.0,57,4.131406
381.0,77,4.274947
150.0,31,4.330798
216.0,44,4.419717
184.0,37,4.487542
188.0,38,4.556351
235.0,48,4.642123
162.0,33,4.701055
366.0,74,4.833535
237.0,48,4.923188
129.0,26,4.971065
160.0,33,5.030905
272.0,55,5.130004
306.0,62,5.241706
222.0,45,5.32302
282.0,57,5.427238
162.0,33,5.487152
425.0,86,6.583025
209.0,42,6.670788
184.0,37,6.741597
234.0,47,6.82691
314.0,63,6.9426
231.0,47,7.027374
221.0,45,7.109701
85.0,60,7.221477
434.0,87,7.390628
248.0,50,7.484377
245.0,50,7.576129
244.0,49,7.664931
158.0,32,7.722327
203.0,41,7.796667
234.0,47,7.882815
170.0,35,7.945647
147.0,30,7.99973
238.0,48,8.087497
257.0,52,8.181383
229.0,46,8.265663
205.0,42,8.341412
141.0,29,8.39427
210.0,43,8.472062
250.0,51,8.564815
236.0,48,8.650933
182.0,37,8.71975
287.0,58,8.824389
186.0,38,8.893445
281.0,57,8.995046
186.0,38,9.064859
320.0,65,9.18125
176.0,36,9.246691
216.0,44,9.327057
192.0,39,9.4001
199.0,40,9.474599
249.0,50,9.570667
183.0,37,9.639724
173.0,35,9.705374
220.0,45,9.787156
227.0,46,9.870931
198.0,40,9.943914
447.0,90,10.10748
412.0,83,10.257094
536.0,108,11.46759
345.0,70,11.597718
202.0,41,11.673516
204.0,41,11.748764
282.0,57,11.855354
236.0,48,11.94514
348.0,70,12.073458
552.0,111,12.27636
145.0,30,12.334791
164.0,33,12.396656
234.0,47,12.482428
277.0,56,12.58649
171.0,35,12.651316
199.0,40,12.724686
161.0,33,12.784187
185.0,38,12.853212
160.0,33,12.913565
196.0,40,12.98637
219.0,44,13.067209
190.0,39,13.136945
225.0,46,13.22007
190.0,39,13.289886
351.0,71,13.421035
169.0,34,13.483792
200.0,41,13.557862
180.0,37,13.627185
200.0,41,13.703152
221.0,45,13.787496
240.0,49,13.878348
206.0,42,13.954146
169.0,34,14.015698
370.0,75,14.153803
174.0,35,14.217766
245.0,50,14.312937
224.0,45,14.39454
195.0,40,14.466867
190.0,39,14.54463
220.0,45,14.633361
194.0,39,14.706166
220.0,45,14.788947
280.0,57,14.893734
297.0,60,15.00401
273.0,55,16.105227
203.0,41,16.193797
210.0,43,16.281714
176.0,36,16.347581
275.0,56,16.450068
254.0,51,16.543604
229.0,46,16.628087
193.0,39,16.741957
317.0,64,16.901635
559.0,112,17.121873
228.0,46,17.215784
228.0,46,17.334006
182.0,37,17.409813
293.0,59,17.526031
376.0,76,17.668012
185.0,38,17.744699
337.0,68,17.873948
211.0,43,17.95364
277.0,56,18.057484
294.0,59,18.165809
349.0,70,18.295982
263.0,53,18.393219
249.0,50,18.484735
226.0,46,18.568591
197.0,40,18.640954
176.0,36,18.706927
237.0,48,18.79569
179.0,36,18.864033
213.0,43,18.947809
393.0,79,19.098738
249.0,50,19.194482
160.0,33,19.256863
217.0,44,19.340864
185.0,38,19.409868
497.0,100,19.593658
174.0,35,19.661772
171.0,35,19.740349
433.0,87,19.938981
228.0,46,20.026548
242.0,49,21.082723
274.0,55,21.201714
305.0,62,21.32834
160.0,33,21.387991
202.0,41,21.463788
174.0,35,21.528615
343.0,100,21.710796
183.0,37,21.780175
171.0,35,21.845681
196.0,40,21.919029
185.0,38,21.989109
211.0,43,22.069705
295.0,60,22.178167
182.0,37,22.24798
314.0,63,22.364668
226.0,46,22.446449
263.0,53,22.546791
148.0,30,22.600648
516.0,104,22.789692
207.0,42,22.866836
416.0,84,23.019061
177.0,36,23.091452
481.0,111,23.306938
336.0,68,23.431606
358.0,72,23.561445
249.0,50,23.653198
203.0,41,23.72853
171.0,35,23.79292
250.0,51,23.89063
568.0,114,24.096729
173.0,35,24.160664
186.0,38,24.231193
219.0,44,24.312
198.0,40,24.386745
153.0,31,24.447583
377.0,76,24.605619
198.0,40,24.683383
531.0,107,24.899909
495.0,100,26.09522
271.0,55,26.198943
208.0,42,26.284713
179.0,36,26.354527
385.0,78,26.50612
211.0,43,26.587904
328.0,66,26.715561
389.0,78,26.861299
225.0,46,26.945075
351.0,71,27.077762
233.0,47,27.163533
294.0,59,27.298095
229.0,46,27.387003
153.0,31,27.448224
294.0,59,27.561864
243.0,49,27.652218
195.0,40,27.724909
253.0,51,27.81866
181.0,37,27.885482
251.0,51,27.980862
306.0,62,28.093908
179.0,36,28.159957
215.0,44,28.239548
226.0,46,28.343275
153.0,31,28.422742
227.0,46,28.534487
256.0,52,28.655164
206.0,42,28.752529
303.0,61,28.894757
186.0,38,28.988038
207.0,42,29.076308
209.0,42,29.16372
152.0,31,29.233333
230.0,47,29.338529
144.0,29,29.406
194.0,39,29.49698
272.0,55,29.623906
474.0,95,29.832288
268.0,54,29.930902
223.0,45,30.016301
265.0,54,31.094556
284.0,57,31.224
225.0,46,31.320741
297.0,60,31.439928
364.0,73,31.583544
217.0,44,31.665329
274.0,55,31.766583
185.0,38,31.834949
199.0,40,31.907755
244.0,49,31.996337
219.0,44,32.080548
277.0,56,32.182276
372.0,75,32.320564
172.0,35,32.385137
294.0,77,32.525809
457.0,92,32.690882
373.0,75,32.825523
327.0,66,32.943796
233.0,47,33.029567
354.0,71,33.160217
605.0,122,33.381478
339.0,68,33.504627
235.0,48,33.593713
274.0,55,33.694555
528.0,106,33.888372
235.0,48,33.996128
207.0,42,34.078906
521.0,105,34.273991
187.0,38,34.36328
247.0,50,34.479114
168.0,34,34.540949
288.0,58,34.646281
471.0,115,34.855681
315.0,64,35.939296
388.0,78,36.104308
243.0,49,36.195065
178.0,36,36.261402
188.0,38,36.331114
181.0,37,36.398932
324.0,65,36.518087
197.0,40,36.590948
284.0,57,36.695668
204.0,41,36.76947
164.0,33,36.82931
152.0,31,36.886217
