#{"t_start": 1686021007.3454375, "env_id": null}
r,l,t
0.0,1,1.917305
0.0,1,1.921325
0.0,1,1.924287
0.0,1,1.927305
0.0,1,1.929274
0.0,1,1.932266
0.0,1,1.935257
5.0,2,1.940245
0.0,1,1.942239
0.0,1,1.944233
0.0,1,1.948224
0.0,1,1.950219
0.0,1,1.953209
5.0,2,1.957199
0.0,1,1.960191
0.0,1,1.963183
0.0,1,1.966175
0.0,1,1.968169
5.0,2,1.973156
5.0,2,1.977145
0.0,1,1.980139
0.0,1,1.98313
0.0,1,1.985123
0.0,1,1.987119
0.0,1,1.990111
0.0,1,1.992105
0.0,1,1.9941
0.0,1,1.997092
0.0,1,1.999617
0.0,1,2.001611
0.0,1,2.004603
0.0,1,2.006597
0.0,1,2.008593
0.0,1,2.011584
5.0,2,2.016571
0.0,1,2.018566
0.0,1,2.021558
0.0,1,2.02455
0.0,1,2.026546
0.0,1,2.029537
0.0,1,2.032529
0.0,1,2.034524
0.0,1,2.036518
0.0,1,2.03951
0.0,1,2.041505
0.0,1,2.043499
0.0,1,2.047488
0.0,1,2.049485
0.0,1,2.051478
0.0,1,2.054471
0.0,1,2.056466
0.0,1,2.058461
0.0,1,2.060454
0.0,1,2.063447
0.0,1,2.066438
0.0,1,2.069429
0.0,1,2.071426
0.0,1,2.074417
0.0,1,2.076426
0.0,1,2.079409
0.0,1,2.0824
0.0,1,2.085393
0.0,1,2.087387
0.0,1,2.089383
0.0,1,2.092374
0.0,1,2.094368
5.0,2,2.099356
0.0,1,2.102348
0.0,1,2.104342
0.0,1,2.106337
0.0,1,2.109328
5.0,2,2.113319
0.0,1,2.11631
0.0,1,2.118305
0.0,1,2.121296
0.0,1,2.123292
0.0,1,2.125286
0.0,1,2.128278
0.0,1,2.13127
0.0,1,2.133265
0.0,1,2.135259
0.0,1,2.138253
0.0,1,2.140246
0.0,1,2.14224
0.0,1,2.145232
0.0,1,2.147228
0.0,1,2.15022
0.0,1,2.152215
0.0,1,2.154208
0.0,1,2.1572
0.0,1,2.159195
0.0,1,2.16119
0.0,1,2.164182
0.0,1,2.166176
0.0,1,2.168171
0.0,1,2.171162
0.0,1,2.173158
0.0,1,2.175153
0.0,1,2.177718
0.0,1,2.180709
0.0,1,2.182703
0.0,1,2.184698
0.0,1,2.187691
0.0,1,2.189684
0.0,1,2.19168
0.0,1,2.194671
0.0,1,2.197663
0.0,1,2.199814
0.0,1,2.201809
0.0,1,2.203804
0.0,1,2.206796
0.0,1,2.208791
5.0,2,2.213778
0.0,1,2.216769
0.0,1,2.219762
0.0,1,2.221756
0.0,1,2.22375
0.0,1,2.226742
0.0,1,2.228737
0.0,1,2.23173
0.0,1,2.233724
0.0,1,2.236716
0.0,1,2.238704
0.0,1,2.240699
0.0,1,2.243692
5.0,2,2.248679
0.0,1,2.251671
0.0,1,2.254662
0.0,1,2.256656
0.0,1,2.259649
0.0,1,2.262642
0.0,1,2.265632
0.0,1,2.267627
0.0,1,2.270619
0.0,1,2.273612
0.0,1,2.275606
0.0,1,2.277601
0.0,1,2.280593
0.0,1,2.283585
0.0,1,2.285581
0.0,1,2.287573
0.0,1,2.290566
0.0,1,2.292561
0.0,1,2.294556
0.0,1,2.297548
0.0,1,2.299374
0.0,1,2.302367
0.0,1,2.304362
0.0,1,2.306355
0.0,1,2.309347
0.0,1,2.311342
0.0,1,2.313339
0.0,1,2.315331
0.0,1,2.318323
0.0,1,2.320318
0.0,1,2.322312
0.0,1,2.325305
0.0,1,2.3273
0.0,1,2.329294
0.0,1,2.332286
0.0,1,2.334281
0.0,1,2.337272
0.0,1,2.339785
0.0,1,2.341782
0.0,1,2.343776
0.0,1,2.346767
0.0,1,2.349759
0.0,1,2.351753
5.0,2,2.355742
0.0,1,2.357738
0.0,1,2.359733
0.0,1,2.362724
0.0,1,2.364718
0.0,1,2.366713
0.0,1,2.368708
0.0,1,2.3717
0.0,1,2.373696
0.0,1,2.37667
0.0,1,2.378688
0.0,1,2.380681
0.0,1,2.382677
0.0,1,2.38467
0.0,1,2.387662
0.0,1,2.389657
0.0,1,2.391651
0.0,1,2.393647
0.0,1,2.396638
0.0,1,2.398645
0.0,1,2.401146
0.0,1,2.403141
0.0,1,2.405135
0.0,1,2.40713
0.0,1,2.409125
0.0,1,2.412117
0.0,1,2.414111
0.0,1,2.416106
0.0,1,2.419097
0.0,1,2.421092
0.0,1,2.423087
0.0,1,2.42608
0.0,1,2.428074
0.0,1,2.430069
0.0,1,2.432063
0.0,1,2.434058
0.0,1,2.43705
0.0,1,2.4386
0.0,1,2.441591
0.0,1,2.443586
0.0,1,2.44558
0.0,1,2.448573
0.0,1,2.450567
0.0,1,2.452563
0.0,1,2.454558
0.0,1,2.45655
0.0,1,2.459543
0.0,1,2.461539
0.0,1,2.463532
0.0,1,2.466525
0.0,1,2.468518
0.0,1,2.471511
0.0,1,2.473505
0.0,1,2.4755
0.0,1,2.477531
0.0,1,2.480519
0.0,1,2.482513
0.0,1,2.484508
0.0,1,2.486502
0.0,1,2.489494
0.0,1,2.491489
0.0,1,2.493484
0.0,1,2.496477
0.0,1,2.498481
0.0,1,2.501466
0.0,1,2.50346
0.0,1,2.505455
0.0,1,2.508447
0.0,1,2.510442
0.0,1,2.513434
0.0,1,2.515429
0.0,1,2.517423
0.0,1,2.520417
0.0,1,2.522411
0.0,1,2.525402
0.0,1,2.527396
0.0,1,2.529391
0.0,1,2.532383
0.0,1,2.534378
0.0,1,2.536372
0.0,1,2.539365
0.0,1,2.541359
0.0,1,2.543354
0.0,1,2.546347
0.0,1,2.54834
5.0,2,2.552329
0.0,1,2.555323
0.0,1,2.557316
5.0,2,2.561306
0.0,1,2.564299
0.0,1,2.567291
0.0,1,2.569285
0.0,1,2.572277
0.0,1,2.574271
0.0,1,2.577263
0.0,1,2.579063
0.0,1,2.581058
0.0,1,2.58405
0.0,1,2.586045
0.0,1,2.58804
0.0,1,2.591032
0.0,1,2.593026
0.0,1,2.595021
0.0,1,2.597017
0.0,1,2.600009
0.0,1,2.602002
0.0,1,2.603996
0.0,1,2.606989
0.0,1,2.608984
0.0,1,2.611976
0.0,1,2.614968
5.0,2,2.618957
0.0,1,2.620952
0.0,1,2.622946
0.0,1,2.624941
0.0,1,2.626935
0.0,1,2.629928
0.0,1,2.631922
0.0,1,2.633917
5.0,2,2.638453
0.0,1,2.640448
0.0,1,2.64344
0.0,1,2.645435
0.0,1,2.647429
0.0,1,2.650421
0.0,1,2.652416
0.0,1,2.654413
0.0,1,2.656406
0.0,1,2.658401
0.0,1,2.661392
0.0,1,2.664384
0.0,1,2.666378
5.0,2,2.670368
0.0,1,2.672362
0.0,1,2.674357
0.0,1,2.67735
0.0,1,2.679345
0.0,1,2.681338
5.0,2,2.685328
0.0,1,2.68832
0.0,1,2.690315
0.0,1,2.692309
5.0,2,2.696299
0.0,1,2.698293
0.0,1,2.701285
0.0,1,2.70328
0.0,1,2.705276
0.0,1,2.708266
5.0,2,2.712255
0.0,1,2.714251
0.0,1,2.717243
0.0,1,2.719239
0.0,1,2.721232
0.0,1,2.724226
0.0,1,2.726218
0.0,1,2.72921
0.0,1,2.732203
0.0,1,2.735195
0.0,1,2.737726
0.0,1,2.739713
0.0,1,2.742706
0.0,1,2.744701
0.0,1,2.747694
0.0,1,2.750684
0.0,1,2.752679
0.0,1,2.754674
0.0,1,2.756668
0.0,1,2.758664
0.0,1,2.761655
0.0,1,2.764647
0.0,1,2.766641
5.0,2,2.770632
0.0,1,2.772626
0.0,1,2.775618
0.0,1,2.777612
0.0,1,2.780605
0.0,1,2.7826
0.0,1,2.784594
0.0,1,2.786588
0.0,1,2.789582
0.0,1,2.791576
0.0,1,2.79357
0.0,1,2.796563
0.0,1,2.798937
0.0,1,2.800924
0.0,1,2.803915
5.0,2,2.808903
0.0,1,2.810897
0.0,1,2.813889
0.0,1,2.815883
0.0,1,2.818876
5.0,2,2.822865
0.0,1,2.824858
0.0,1,2.826854
0.0,1,2.829846
0.0,1,2.831841
0.0,1,2.834833
0.0,1,2.836827
0.0,1,2.838824
0.0,1,2.841814
5.0,2,2.845803
0.0,1,2.847798
0.0,1,2.85079
0.0,1,2.852786
0.0,1,2.854779
5.0,2,2.858769
0.0,1,2.861761
0.0,1,2.864753
0.0,1,2.866747
0.0,1,2.868742
0.0,1,2.871734
0.0,1,2.873729
0.0,1,2.875723
0.0,1,2.878715
0.0,1,2.88071
0.0,1,2.882706
0.0,1,2.885697
0.0,1,2.887693
0.0,1,2.890683
0.0,1,2.89268
0.0,1,2.894674
0.0,1,2.897666
0.0,1,2.900191
0.0,1,2.902187
0.0,1,2.905178
0.0,1,2.907173
0.0,1,2.909168
0.0,1,2.912159
0.0,1,2.916148
0.0,1,2.918145
0.0,1,2.921135
0.0,1,2.923131
0.0,1,2.925125
0.0,1,2.928118
0.0,1,2.930112
0.0,1,2.932107
0.0,1,2.935098
0.0,1,2.937093
0.0,1,2.939088
0.0,1,2.941082
0.0,1,2.944074
0.0,1,2.94607
0.0,1,2.949061
0.0,1,2.951055
0.0,1,2.953051
0.0,1,2.955045
0.0,1,2.958037
0.0,1,2.960032
0.0,1,2.962028
0.0,1,2.965018
0.0,1,2.967013
5.0,2,2.971002
0.0,1,2.972998
0.0,1,2.975989
0.0,1,2.977983
0.0,1,2.980976
0.0,1,2.982971
0.0,1,2.984965
0.0,1,2.987957
5.0,2,2.991947
0.0,1,2.993941
0.0,1,2.996933
0.0,1,2.99846
0.0,1,3.00045
0.0,1,3.003441
0.0,1,3.005437
0.0,1,3.007431
0.0,1,3.010424
0.0,1,3.012418
0.0,1,3.015409
0.0,1,3.017404
0.0,1,3.019398
0.0,1,3.022391
0.0,1,3.024385
0.0,1,3.026381
0.0,1,3.029372
0.0,1,3.031367
0.0,1,3.033362
0.0,1,3.035355
0.0,1,3.037352
0.0,1,3.040343
0.0,1,3.042338
0.0,1,3.044332
0.0,1,3.046327
0.0,1,3.049319
0.0,1,3.051314
0.0,1,3.053308
0.0,1,3.055303
0.0,1,3.057297
0.0,1,3.06029
0.0,1,3.063281
0.0,1,3.066273
0.0,1,3.068268
0.0,1,3.07126
0.0,1,3.073255
0.0,1,3.076247
0.0,1,3.078241
0.0,1,3.081234
5.0,2,3.08622
0.0,1,3.088214
0.0,1,3.090209
0.0,1,3.093202
0.0,1,3.096193
0.0,1,3.100182
0.0,1,3.102176
0.0,1,3.105169
0.0,1,3.107163
0.0,1,3.110156
0.0,1,3.113148
5.0,2,3.118134
0.0,1,3.121126
0.0,1,3.124119
0.0,1,3.126113
0.0,1,3.129105
0.0,1,3.132097
0.0,1,3.135089
0.0,1,3.138081
0.0,1,3.141073
0.0,1,3.144067
5.0,2,3.151048
0.0,1,3.154038
0.0,1,3.15703
0.0,1,3.162017
0.0,1,3.167003
0.0,1,3.169996
0.0,1,3.172989
0.0,1,3.175979
5.0,2,3.180968
0.0,1,3.183959
0.0,1,3.186951
0.0,1,3.190939
0.0,1,3.192934
0.0,1,3.195926
5.0,2,3.201911
0.0,1,3.204903
0.0,1,3.206898
0.0,1,3.209888
0.0,1,3.211884
0.0,1,3.214875
0.0,1,3.21687
0.0,1,3.219862
0.0,1,3.221858
0.0,1,3.224848
0.0,1,3.226843
0.0,1,3.228837
0.0,1,3.23183
0.0,1,3.234822
0.0,1,3.236816
0.0,1,3.239778
0.0,1,3.242178
0.0,1,3.244169
0.0,1,3.247161
0.0,1,3.251149
0.0,1,3.253144
0.0,1,3.256136
0.0,1,3.258131
0.0,1,3.261123
0.0,1,3.263118
0.0,1,3.26611
0.0,1,3.269103
0.0,1,3.271096
0.0,1,3.273091
0.0,1,3.276083
0.0,1,3.278078
0.0,1,3.280072
5.0,2,3.285059
0.0,1,3.288051
0.0,1,3.290045
0.0,1,3.293038
0.0,1,3.295033
0.0,1,3.298025
0.0,1,3.301016
0.0,1,3.304008
0.0,1,3.306003
0.0,1,3.307998
0.0,1,3.31099
0.0,1,3.312984
5.0,2,3.318968
0.0,1,3.320963
0.0,1,3.322958
0.0,1,3.325949
0.0,1,3.327944
0.0,1,3.330937
0.0,1,3.333928
0.0,1,3.33692
0.0,1,3.338915
0.0,1,3.340911
0.0,1,3.343902
0.0,1,3.345898
0.0,1,3.349886
0.0,1,3.35188
0.0,1,3.353875
0.0,1,3.356867
0.0,1,3.359859
0.0,1,3.362851
0.0,1,3.365843
0.0,1,3.368836
0.0,1,3.372825
0.0,1,3.375817
0.0,1,3.379806
0.0,1,3.383795
0.0,1,3.386787
0.0,1,3.389779
0.0,1,3.391773
0.0,1,3.394765
0.0,1,3.397758
0.0,1,3.400751
0.0,1,3.402745
0.0,1,3.405736
0.0,1,3.407731
0.0,1,3.410723
0.0,1,3.413716
0.0,1,3.416708
0.0,1,3.4197
5.0,2,3.425683
0.0,1,3.427677
0.0,1,3.431668
0.0,1,3.434659
0.0,1,3.436654
0.0,1,3.439646
0.0,1,3.441641
0.0,1,3.444633
0.0,1,3.447624
0.0,1,3.450617
0.0,1,3.452611
0.0,1,3.454606
0.0,1,3.457598
