#{"t_start": 1686135694.3104548, "env_id": null}
r,l,t
0.934801,100,1.928307
-1.133195,170,2.226581
-1.156186,163,2.514116
-1.119342,109,2.705605
-1.170259,188,3.041024
-1.302279,239,3.471855
-1.218145,195,3.825486
-1.12772,156,4.104338
-1.167117,152,4.374381
0.946764,69,4.496391
-1.314304,217,4.877188
-1.099779,112,5.072915
-1.191732,162,5.357363
-1.458345,275,6.760737
0.960697,61,6.869428
-1.128833,112,7.065495
-1.297552,220,7.453622
-1.808596,378,8.117291
0.982829,29,8.168447
0.954404,64,8.280285
0.968563,43,8.356617
0.936313,95,8.524471
-1.094477,116,8.7278
0.972773,37,8.792932
0.976209,34,8.85377
-1.910653,409,9.57253
-1.104821,115,9.779981
-1.187008,155,11.042797
-1.118066,131,11.279723
-1.171319,182,11.600612
-1.100555,117,11.809532
-1.117069,125,12.028811
0.938203,91,12.1878
-1.195673,216,12.564741
0.913368,118,12.770191
-1.114809,109,12.964414
-1.104037,131,13.194372
-1.109221,144,13.446701
-1.086095,116,13.650214
0.924568,104,13.832577
0.953788,61,13.93929
0.956468,56,14.040548
0.974512,37,14.105374
-1.430483,277,15.539965
0.943274,80,15.692725
0.986507,26,15.74017
-1.110844,141,15.991569
0.979715,33,16.050413
0.986036,23,16.091101
-1.163902,169,16.390729
-1.311739,282,16.884617
0.980788,29,16.937477
0.975768,35,16.999865
0.970361,45,17.078654
-1.08252,104,17.259389
-1.139903,200,17.610171
-1.219531,166,17.899732
-1.095482,101,18.077191
-1.135314,158,18.355241
-1.119319,155,18.627503
-1.181424,171,18.924353
-1.386398,256,20.513748
-1.174018,171,20.856829
-1.12141,128,21.105164
0.960763,57,21.214071
-1.11279,103,21.402246
0.97183,43,21.479312
-1.328248,216,21.863586
0.960349,57,21.968155
-1.18225,209,22.343642
-1.612702,328,22.95541
0.973671,38,23.024225
0.98924,20,23.060129
0.98339,28,23.111991
-1.109658,138,23.362327
-1.105123,116,23.571768
-1.371519,251,25.051298
0.978311,32,25.11812
-1.146321,201,25.489129
-1.599914,322,26.083971
-1.246161,161,26.37863
-1.097983,135,26.6239
-1.165659,197,26.979376
-1.166538,179,27.302022
0.937939,83,27.452569
-1.108185,157,27.735239
-1.091321,87,27.891004
0.932313,97,28.064163
0.961105,62,28.175429
0.953167,70,28.304069
0.97111,46,28.389129
0.946039,73,28.518363
-1.996343,555,30.5232
0.979249,32,30.580228
0.943523,77,30.722066
-1.137398,165,31.020154
-1.160229,173,31.331322
-1.147036,159,31.61656
-1.077906,119,31.830987
-1.190995,179,32.151524
-1.094321,111,32.352352
-1.106864,101,32.538879
-1.11759,140,32.791213
-1.194648,139,33.040945
-1.105322,122,33.258053
0.946317,81,33.411454
0.925086,102,34.597057
-1.927065,414,35.345356
0.946111,76,35.486977
-1.161021,190,35.836035
0.978061,33,35.894429
-1.111266,129,36.122031
0.958262,56,36.21977
0.970923,47,36.302893
-1.174144,198,36.652408
0.882556,136,36.907222
0.905093,131,37.135149
-1.166847,187,37.463092
-1.491335,254,37.90773
-1.994074,429,39.678171
-1.160463,128,39.901878
